,HospID,surgyear,total surgery count
2281,262629,2011,720
6978,601236,2018,720
6979,601236,2019,720
4167,406108,2017,719
5775,517853,2015,719
10799,873014,2019,719
2917,320330,2017,718
11957,962319,2017,718
1704,221364,2014,717
10917,884166,2017,717
11773,947246,2013,716
12116,976598,2016,716
1637,216902,2017,715
12114,976598,2014,715
961,179019,2011,714
8070,680341,2010,714
12228,986954,2018,714
4636,435785,2016,713
5837,520284,2017,712
6921,596848,2011,712
6923,596848,2013,712
2554,283639,2014,711
4631,435785,2011,711
283,126632,2013,710
1210,190310,2010,710
9925,808406,2015,708
11192,904916,2012,708
7558,640181,2018,706
1849,233380,2019,705
8071,680341,2011,705
8072,680341,2012,705
2552,283639,2012,704
3070,331649,2010,704
10915,884166,2015,703
6795,588246,2015,702
10918,884166,2018,702
11958,962319,2018,702
7315,623337,2015,701
7090,608479,2010,699
9480,775729,2010,699
5835,520284,2015,698
7440,634952,2010,697
227,118752,2017,696
8745,723550,2015,696
1217,190310,2017,695
1000,181225,2010,694
7446,634952,2016,694
9548,779854,2018,694
1249,192850,2019,693
2918,320330,2018,692
5469,491146,2019,692
8246,691376,2016,692
10916,884166,2016,691
1674,219387,2014,690
3641,369971,2011,690
8073,680341,2013,690
8769,724136,2019,690
9474,775049,2014,690
9398,766036,2018,689
1606,214436,2016,688
1846,233380,2016,688
1948,238328,2018,688
9271,757628,2011,688
5615,504879,2015,687
5838,520284,2018,687
8660,716796,2010,687
12229,986954,2019,687
2896,317338,2016,686
5617,504879,2017,686
8076,680341,2016,686
10033,818030,2013,686
10754,871557,2014,686
7094,608479,2014,685
8768,724136,2018,685
9270,757628,2010,685
4924,455644,2014,684
11117,897724,2017,683
728,164985,2018,682
2286,262629,2016,682
3640,369971,2010,682
5477,492643,2017,682
6532,570819,2012,682
10563,856235,2013,682
10798,873014,2018,682
12284,993109,2014,681
4929,455644,2019,680
10034,818030,2014,680
225,118752,2015,679
2550,283639,2010,679
8247,691376,2017,679
9150,750089,2010,679
11118,897724,2018,679
11448,927399,2018,678
7314,623337,2014,677
10032,818030,2012,677
10913,884166,2013,677
4166,406108,2016,676
9399,766036,2019,676
2551,283639,2011,675
3689,374052,2019,675
9396,766036,2016,675
10634,863113,2014,675
10914,884166,2014,675
373,137573,2013,674
1607,214436,2017,674
2074,246422,2014,674
6531,570819,2011,674
4140,404812,2010,673
8744,723550,2014,672
10753,871557,2013,672
4934,456109,2014,671
6533,570819,2013,671
6536,570819,2016,671
7550,640181,2010,671
12227,986954,2017,671
2895,317338,2015,670
7551,640181,2011,670
8310,696808,2010,670
9481,775729,2011,670
5614,504879,2014,669
6920,596848,2010,669
7098,608479,2018,669
2892,317338,2012,668
9273,757628,2013,668
9475,775049,2015,668
6924,596848,2014,667
8314,696808,2014,667
10147,824948,2017,667
10562,856235,2012,667
6791,588246,2011,666
12113,976598,2013,665
2287,262629,2017,664
4058,399630,2018,664
9328,760033,2018,664
10611,861281,2011,664
2075,246422,2015,663
10139,824357,2019,663
1638,216902,2018,662
2829,310907,2019,662
2890,317338,2010,662
4057,399630,2017,662
280,126632,2010,661
9272,757628,2012,661
2289,262629,2019,660
6565,572677,2015,660
10144,824948,2014,660
11116,897724,2016,660
11447,927399,2017,660
1675,219387,2015,659
224,118752,2014,658
5434,489781,2014,658
281,126632,2011,657
3480,359078,2010,657
6870,593946,2010,657
9327,760033,2017,655
222,118752,2012,654
2893,317338,2013,654
9397,766036,2017,654
10564,856235,2014,654
12274,992708,2014,654
3058,331026,2018,653
9274,757628,2014,653
5473,492643,2013,652
6796,588246,2016,652
7091,608479,2011,652
7093,608479,2013,652
7590,642497,2010,652
8245,691376,2015,652
11574,935131,2014,652
370,137573,2010,650
9275,757628,2015,650
1213,190310,2013,649
9026,743802,2016,649
6694,581525,2014,648
7092,608479,2012,648
8077,680341,2017,648
9477,775049,2017,648
228,118752,2018,647
4630,435785,2010,647
8075,680341,2015,647
11575,935131,2015,647
1608,214436,2018,646
1605,214436,2015,645
8311,696808,2011,645
4632,435785,2012,644
4766,448376,2016,644
8078,680341,2018,644
9996,813465,2016,644
10140,824948,2010,644
8746,723550,2016,643
9473,775049,2013,643
9579,782695,2019,643
372,137573,2012,642
2891,317338,2011,642
4141,404812,2011,642
7892,663199,2012,642
8743,723550,2013,642
9578,782695,2018,642
10141,824948,2011,642
10797,873014,2017,642
11493,928212,2013,642
1634,216902,2014,641
1845,233380,2015,641
7095,608479,2015,641
10795,873014,2015,641
11573,935131,2013,641
10794,873014,2014,640
2916,320330,2016,639
5684,511006,2014,639
1636,216902,2016,638
4490,425144,2010,638
12118,976598,2018,638
1609,214436,2019,637
10610,861281,2010,637
5830,520284,2010,636
11205,905484,2015,636
12223,986954,2013,636
2897,317338,2017,635
3059,331026,2019,635
6793,588246,2013,635
9151,750089,2011,635
11076,893168,2016,635
12224,986954,2014,635
371,137573,2011,634
1944,238328,2014,633
2288,262629,2018,633
4457,422520,2017,633
374,137573,2014,632
2628,291124,2018,632
4163,406108,2013,632
9471,775049,2011,632
2211,256697,2011,631
5475,492643,2015,631
9577,782695,2017,631
284,126632,2014,630
3720,375856,2010,630
4456,422520,2016,630
7316,623337,2016,630
8747,723550,2017,630
3726,375856,2016,629
4769,448376,2019,629
7097,608479,2017,629
9392,766036,2012,629
1635,216902,2015,628
7554,640181,2014,628
10142,824948,2012,628
1002,181225,2012,627
5832,520284,2012,627
9570,782695,2010,627
10633,863113,2013,627
8767,724136,2017,626
223,118752,2013,625
7443,634952,2013,625
6696,581525,2016,624
7733,651562,2013,624
11191,904916,2011,624
282,126632,2012,623
2894,317338,2014,623
5839,520284,2019,623
9393,766036,2013,623
9547,779854,2017,622
10138,824357,2018,622
10302,835776,2012,622
7099,608479,2019,621
10172,828397,2012,621
6187,542833,2017,620
10631,863113,2011,620
12110,976598,2010,620
2283,262629,2013,619
7442,634952,2012,619
9277,757628,2017,619
9933,809215,2013,619
11075,893168,2015,619
11115,897724,2015,619
12273,992708,2013,618
3516,360975,2016,617
4165,406108,2015,617
12272,992708,2012,617
4920,455644,2010,616
9325,760033,2015,616
11770,947246,2010,616
5833,520284,2013,615
7320,624425,2010,615
7555,640181,2015,615
1003,181225,2013,614
4767,448376,2017,614
9324,760033,2014,614
12117,976598,2017,614
1604,214436,2014,613
4056,399630,2016,613
7322,624425,2012,613
12119,976598,2019,613
3515,360975,2015,612
6937,597303,2017,612
9276,757628,2016,612
9478,775049,2018,612
9934,809215,2014,612
11919,960603,2019,612
285,126632,2015,610
4768,448376,2018,610
6534,570819,2014,610
286,126632,2016,609
4907,455406,2017,608
5240,481297,2010,608
7096,608479,2016,608
9482,775729,2012,608
10758,871557,2018,608
6060,535164,2010,607
9586,782867,2016,607
12220,986954,2010,607
8243,691376,2013,606
11114,897724,2014,606
11494,928212,2014,606
6188,542833,2018,605
8749,723550,2019,605
2914,320330,2014,604
3054,331026,2014,604
4921,455644,2011,604
10566,856235,2016,604
9030,744996,2010,603
9967,811480,2017,603
11772,947246,2012,603
4329,414545,2019,602
4922,455644,2012,602
11571,935131,2011,602
2073,246422,2013,601
5820,519629,2010,601
8079,680341,2019,601
10635,863113,2015,601
12112,976598,2012,601
12221,986954,2011,601
1943,238328,2013,600
5241,481297,2011,600
5683,511006,2013,600
10632,863113,2012,600
6066,535164,2016,599
9326,760033,2016,599
10143,824948,2013,599
10796,873014,2016,599
1809,230043,2019,598
7317,623337,2017,598
4109,401839,2019,597
7557,640181,2017,597
8370,700034,2010,597
9320,760033,2010,597
12226,986954,2016,597
3721,375856,2011,596
7441,634952,2011,596
7559,640181,2019,596
10149,824948,2019,596
11073,893168,2013,596
1211,190310,2011,595
