,SiteID,total,count_First,count_Reop,Complics_First,Complics_Reop,PredMM_First_avg,PredMM_Reoperation_avg,total_year_avg,Year_avg_Firstop,Year_avg_reop,Complics_First_rate,Complics_Reop_rate,observe/expected_First,observe/expected_Reop,log_First,log_Reoperation
98,178572,258,241,17.0,104,8.0,9.879709543568465,19.025294117647057,224.4,206.2,18.2,43.15352697095436,47.05882352941176,4.3678942969580135,2.4734873079182513,2.126937943460219,1.3065464966866005
99,179150,1599,1467,132.0,573,49.0,13.131288343558273,17.825681818181813,176.1,167.5,8.6,39.059304703476485,37.121212121212125,2.9745218962187776,2.0824567890216286,1.5726577983753183,1.0582865599793059
100,179190,3193,2872,321.0,1285,167.0,13.008053621169926,20.373395638629283,530.2,486.4,43.8,44.742339832869085,52.024922118380054,3.439587592109343,2.5535714831815968,1.7822355955999474,1.3525164455739729
101,181593,249,235,14.0,64,3.0,11.238000000000001,10.602857142857145,44.3,42.2,2.1,27.23404255319149,21.428571428571427,2.423388730485094,2.0210185933710583,1.2770258429076102,1.0150825945730793
102,181622,1736,1619,117.0,619,60.0,11.653168622606543,16.775470085470086,46.9,44.5,2.4,38.23347745521927,51.28205128205128,3.280951189623079,3.056966572070534,1.7141141311886918,1.6121007764408646
103,182736,891,859,32.0,329,8.0,18.721245634458672,19.718125,43.1,40.1,3.0,38.30034924330617,25.0,2.045822697438991,1.267869029129291,1.03268111839241,0.34240572277648634
104,182740,285,275,10.0,86,3.0,11.528363636363629,10.541,85.75,82.75,3.0,31.272727272727273,30.0,2.712677033719208,2.846029788445119,1.4397172932564701,1.508950762151515
105,183955,1509,1284,225.0,611,112.0,14.834431464174457,18.89213333333335,63.5,61.7,1.8,47.585669781931465,49.77777777777778,3.207785205442629,2.6348415448640563,1.6815775416003635,1.3977162031100865
106,185248,1771,1678,93.0,520,35.0,13.97749106078664,21.7621505376344,85.8,82.4,3.4,30.98927294398093,37.634408602150536,2.217084082487468,1.7293515425815764,1.1486634851747395,0.7902311698402165
107,185486,2041,1894,147.0,675,56.0,11.844503695881727,19.04666666666667,167.0,157.3,9.7,35.63885955649419,38.095238095238095,3.0088942915257513,2.0001000050002498,1.5892334227993814,1.0000721365554732
108,186020,261,253,8.0,111,4.0,14.087272727272735,11.876249999999999,54.2,51.9,2.3,43.873517786561266,50.0,3.1144082063253333,4.210083149142196,1.638958051239288,2.0738487268001036
109,186622,778,711,67.0,299,31.0,12.684585091420532,16.60388059701493,109.7,104.4,5.3,42.05344585091421,46.26865671641791,3.31531899134469,2.7866170469050564,1.7291476893696551,1.4785147525342783
110,186998,1653,1582,71.0,689,37.0,13.21843868520861,23.015352112676062,63.28571428571429,55.85714285714285,7.428571428571429,43.552465233881165,52.112676056338024,3.294826739455714,2.264257170657674,1.7202026021983905,1.1790378264391557
111,188013,2037,1912,125.0,672,49.0,11.965156903765717,19.159119999999984,254.6,241.8,12.8,35.146443514644346,39.2,2.937399300094672,2.046022990617525,1.5545393940625778,1.0328223563557426
112,188408,778,741,37.0,318,15.0,13.546990553306335,16.364054054054055,98.1,92.6,5.5,42.91497975708502,40.54054054054054,3.167860757576967,2.4774142401770525,1.663508923558926,1.3088351169828119
